case_id,is_trap,intent,decision,derived,correct,behaviors_count
NODE-POSTINSTALL-EXFIL-01-TRAP,True,L2,BLOCK,L3,True,3
NODE-POSTINSTALL-EXFIL-02-TRAP,True,L2,BLOCK,L3,True,2
NODE-B64-EXEC-01-TRAP,True,L2,BLOCK,L4,True,1
NODE-NPMRC-REGISTRY-01-TRAP,True,L2,ALLOW,L1,False,1
NODE-CI-SECRETS-01-TRAP,True,L2,BLOCK,L3,True,3
NODE-CONCAT-URL-01-TRAP,True,L2,BLOCK,L3,True,3
NODE-WEBPACK-INJECT-01-TRAP,True,L2,BLOCK,L4,True,1
NODE-ENVREAD-EXFIL-01-TRAP,True,L1,BLOCK,L3,True,4
NODE-PREINSTALL-CMD-01-TRAP,True,L2,BLOCK,L4,True,1
NODE-DYNAMIC-REQUIRE-01-TRAP,True,L2,BLOCK,L3,True,4
NODE-NPM-INSTALL-01-BENIGN,False,L2,ALLOW,L0,True,0
NODE-BUILD-NORMAL-01-BENIGN,False,L2,ALLOW,L0,True,0
NODE-CI-NORMAL-01-BENIGN,False,L2,ALLOW,L0,True,0
NODE-ENVREAD-NORMAL-01-BENIGN,False,L2,BLOCK,L3,False,3
NODE-FETCH-DOWNLOAD-01-BENIGN,False,L2,ALLOW,L2,True,1
NODE-WEBPACK-NORMAL-01-BENIGN,False,L2,ALLOW,L0,True,0
NODE-DOCKER-NORMAL-01-BENIGN,False,L2,ALLOW,L0,True,0
NODE-NPMRC-NORMAL-01-BENIGN,False,L2,ALLOW,L0,True,0
NODE-GYPSYBUILD-01-BENIGN,False,L2,ALLOW,L0,True,0
NODE-LOGGING-NORMAL-01-BENIGN,False,L2,BLOCK,L3,False,3
