Project,Stars,Category,Behaviors,Decision,Privilege,FP
django,79k,web,3,ALLOW,L2,False
flask,68k,web,0,ALLOW,L0,False
fastapi,76k,web,4,ALLOW,L2,False
tornado,21k,web,0,ALLOW,L0,False
sanic,18k,web,3,ALLOW,L2,False
scikit-learn,60k,ml,0,ALLOW,L0,False
pandas,43k,ml,0,ALLOW,L0,False
pytorch,83k,ml,0,ALLOW,L0,False
transformers,134k,ml,0,ALLOW,L0,False
keras,62k,ml,3,ALLOW,L1,False
matplotlib,20k,ml,0,ALLOW,L0,False
seaborn,12k,ml,0,ALLOW,L0,False
httpie,34k,cli,0,ALLOW,L0,False
black,39k,cli,2,ALLOW,L2,False
poetry,31k,cli,0,ALLOW,L0,False
rich,50k,cli,0,ALLOW,L0,False
click,15k,cli,0,ALLOW,L0,False
typer,16k,cli,0,ALLOW,L0,False
pytest,12k,testing,2,ALLOW,L2,False
mypy,18k,testing,0,ALLOW,L0,False
ruff,33k,testing,0,ALLOW,L0,False
pre-commit,13k,testing,0,ALLOW,L0,False
tox,4k,testing,0,ALLOW,L0,False
pydantic,21k,data,0,ALLOW,L0,False
sqlalchemy,9k,data,0,ALLOW,L0,False
celery,25k,data,3,ALLOW,L1,False
redis-py,13k,data,0,ALLOW,L0,False
arrow,9k,data,0,ALLOW,L0,False
polars,30k,data,0,ALLOW,L0,False
dask,12k,data,3,ALLOW,L2,False
requests,52k,http,0,ALLOW,L0,False
httpx,13k,http,0,ALLOW,L0,False
aiohttp,15k,http,0,ALLOW,L0,False
scrapy,53k,http,0,ALLOW,L0,False
uvicorn,8k,http,0,ALLOW,L0,False
cryptography,7k,security,1,ALLOW,L2,False
paramiko,9k,security,1,ALLOW,L1,False
certbot,31k,security,2,ALLOW,L1,False
ansible,63k,automation,0,ALLOW,L0,False
fabric,15k,automation,2,ALLOW,L1,False
cookiecutter,22k,automation,0,ALLOW,L0,False
invoke,4k,automation,0,ALLOW,L0,False
pillow,12k,misc,0,ALLOW,L0,False
sympy,13k,misc,0,ALLOW,L0,False
boto3,9k,misc,2,ALLOW,L1,False
gunicorn,10k,misc,0,ALLOW,L0,False
jinja2,10k,misc,0,ALLOW,L0,False
pyyaml,2k,misc,0,ALLOW,L0,False
pendulum,6k,misc,0,ALLOW,L0,False
loguru,20k,misc,0,ALLOW,L0,False
